File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF639MAG	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF759SQV/, /files/ENCFF840WOP/	2396480	Gene Yeo, UCSD	de75d76f91f6c4bbeb257ae3157f8bcb		https://www.encodeproject.org/files/ENCFF639MAG/@@download/ENCFF639MAG.bed.gz				released	s3://encode-public/2018/04/29/3a0fe864-e45a-418b-ba05-b8e943f18806/ENCFF639MAG.bed.gz	Lab custom hg19	archived	mixed read lengths		
ENCFF407GVQ	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF251LGV/, /files/ENCFF840WOP/	2324496	Gene Yeo, UCSD	480d042f50e81ecc49453ec9be4c687a		https://www.encodeproject.org/files/ENCFF407GVQ/@@download/ENCFF407GVQ.bed.gz				released	s3://encode-public/2018/04/29/6de6f4c4-3844-46c4-ab73-bc7c882ddfb7/ENCFF407GVQ.bed.gz	Lab custom hg19	archived	mixed read lengths		
ENCFF966QLX	bigBed narrowPeak	bigBed	narrowPeak	peaks	hg19	ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF639MAG/	4584202	Gene Yeo, UCSD	a40135fad02f33c018e1796cf9d45e84		https://www.encodeproject.org/files/ENCFF966QLX/@@download/ENCFF966QLX.bigBed				released	s3://encode-public/2018/04/29/2adb068c-316e-4b25-8859-73b7e90e201b/ENCFF966QLX.bigBed	Lab custom hg19	archived	mixed read lengths		
ENCFF831IUW	bigBed narrowPeak	bigBed	narrowPeak	peaks	hg19	ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF407GVQ/	3511626	Gene Yeo, UCSD	76f8bb067367780ae267eeb4196a2576		https://www.encodeproject.org/files/ENCFF831IUW/@@download/ENCFF831IUW.bigBed				released	s3://encode-public/2018/04/29/9f42e300-a6a5-4d62-8089-de9483acb25a/ENCFF831IUW.bigBed	Lab custom hg19	archived	mixed read lengths		
ENCFF722JMT	bam	bam		alignments	GRCh38	ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF198ESK/, /files/ENCFF607DEZ/	861878265	Gene Yeo, UCSD	c46bad447d208514e49d177893a1f598		https://www.encodeproject.org/files/ENCFF722JMT/@@download/ENCFF722JMT.bam				released	s3://encode-public/2018/04/29/b7f39821-4db9-463e-8ea8-ef71df3e15f4/ENCFF722JMT.bam	Lab custom GRCh38	released	mixed read lengths		
ENCFF973VXO	bam	bam		alignments	GRCh38	ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF484YDH/, /files/ENCFF983WHV/	868851982	Gene Yeo, UCSD	29bebd84966c0373e1656e1a3f78f80c		https://www.encodeproject.org/files/ENCFF973VXO/@@download/ENCFF973VXO.bam				released	s3://encode-public/2018/04/29/ee490caa-b27e-4aa3-aa90-443cb498bd4d/ENCFF973VXO.bam	Lab custom GRCh38	released	mixed read lengths		
ENCFF662PGM	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF722JMT/	37674246	Gene Yeo, UCSD	be5acf6044bb88a807b697011778634d		https://www.encodeproject.org/files/ENCFF662PGM/@@download/ENCFF662PGM.bigWig				released	s3://encode-public/2018/04/29/76a0c221-0e87-4663-9d6c-2f557f8a280d/ENCFF662PGM.bigWig	Lab custom GRCh38	released	mixed read lengths		
ENCFF686FKT	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF973VXO/	37484521	Gene Yeo, UCSD	c1a56c0d181cf15bdc4751b71749d993		https://www.encodeproject.org/files/ENCFF686FKT/@@download/ENCFF686FKT.bigWig				released	s3://encode-public/2018/04/29/fc689b75-4824-4cf4-9b8a-8560c7c50543/ENCFF686FKT.bigWig	Lab custom GRCh38	released	mixed read lengths		
ENCFF929GHQ	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF722JMT/	38864049	Gene Yeo, UCSD	7e6031a03a6d0a41c542133a59d73a1f		https://www.encodeproject.org/files/ENCFF929GHQ/@@download/ENCFF929GHQ.bigWig				released	s3://encode-public/2018/04/29/c790474b-eb52-47d6-8577-9fff6b3601f0/ENCFF929GHQ.bigWig	Lab custom GRCh38	released	mixed read lengths		
ENCFF514SFZ	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF973VXO/	38851742	Gene Yeo, UCSD	bf85fc4f434ddd604898c5a873851eb3		https://www.encodeproject.org/files/ENCFF514SFZ/@@download/ENCFF514SFZ.bigWig				released	s3://encode-public/2018/04/29/6d839016-829c-41cf-90fb-b1ced4e42b07/ENCFF514SFZ.bigWig	Lab custom GRCh38	released	mixed read lengths		
ENCFF417KUY	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF722JMT/, /files/ENCFF963HES/	2331613	Gene Yeo, UCSD	3405e3b9a94d5049cc25c690840b16df		https://www.encodeproject.org/files/ENCFF417KUY/@@download/ENCFF417KUY.bed.gz				released	s3://encode-public/2018/04/29/be32036c-399d-4320-977b-8cd919edea7f/ENCFF417KUY.bed.gz	Lab custom GRCh38	released	mixed read lengths		
ENCFF948MKY	bigBed narrowPeak	bigBed	narrowPeak	peaks	GRCh38	ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF067WCL/	4600238	Gene Yeo, UCSD	38f32fee6bc3cd60c8d516216c0285ec		https://www.encodeproject.org/files/ENCFF948MKY/@@download/ENCFF948MKY.bigBed				released	s3://encode-public/2018/04/29/052d9f60-32ce-4163-b7d5-2f080900bc55/ENCFF948MKY.bigBed	Lab custom GRCh38	released	mixed read lengths		
ENCFF067WCL	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF973VXO/, /files/ENCFF963HES/	2397783	Gene Yeo, UCSD	b2008aca0ba318d295c1004dffed44c7		https://www.encodeproject.org/files/ENCFF067WCL/@@download/ENCFF067WCL.bed.gz				released	s3://encode-public/2018/04/29/d64eb575-2518-4b4c-943b-efa9dab24dbe/ENCFF067WCL.bed.gz	Lab custom GRCh38	released	mixed read lengths		
ENCFF397KME	bigBed narrowPeak	bigBed	narrowPeak	peaks	GRCh38	ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF417KUY/	3531589	Gene Yeo, UCSD	71b86b695975eda2c408ef9d38f4f6ba		https://www.encodeproject.org/files/ENCFF397KME/@@download/ENCFF397KME.bigBed				released	s3://encode-public/2018/04/29/1154b90d-5a75-42ae-b9bc-1395b2cacba0/ENCFF397KME.bigBed	Lab custom GRCh38	released	mixed read lengths		
ENCFF934PXE	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF759SQV/, /files/ENCFF407GVQ/, /files/ENCFF251LGV/, /files/ENCFF039QTN/, /files/ENCFF639MAG/, /files/ENCFF840WOP/	11203	Gene Yeo, UCSD	442ff4129c6772f9b2087a95d75c80f6		https://www.encodeproject.org/files/ENCFF934PXE/@@download/ENCFF934PXE.bed.gz				released	s3://encode-public/2018/06/08/48790c65-2e35-4dec-8856-39575f133fc8/ENCFF934PXE.bed.gz	Lab custom hg19	archived	mixed read lengths		
ENCFF953WTP	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR484LAB	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										SAFB-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF973VXO/, /files/ENCFF963HES/, /files/ENCFF417KUY/, /files/ENCFF269URO/, /files/ENCFF722JMT/, /files/ENCFF067WCL/	11723	Gene Yeo, UCSD	622e36dd61328330bfdd056674fdac45		https://www.encodeproject.org/files/ENCFF953WTP/@@download/ENCFF953WTP.bed.gz				released	s3://encode-public/2018/12/03/b11061c1-41a6-45f0-af36-cb0d75f6ad6f/ENCFF953WTP.bed.gz	Lab custom GRCh38	released	mixed read lengths		
ENCFF548DYX	fastq	fastq		reads		ENCSR023PKW	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1	44		paired-ended	1	/files/ENCFF908IVH/			222026142	Gene Yeo, UCSD	8f3afd0718b0c606f7b6358c026e07e0		https://www.encodeproject.org/files/ENCFF548DYX/@@download/ENCFF548DYX.fastq.gz		Illumina HiSeq 4000	/files/ENCFF539DGJ/	released	s3://encode-public/2018/04/29/764bda82-e981-4305-a649-4fb1d5f4a215/ENCFF548DYX.fastq.gz					
ENCFF627GSD	fastq	fastq		reads		ENCSR023PKW	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1	44		paired-ended	1	/files/ENCFF364MMW/			507605325	Gene Yeo, UCSD	0f5cf218c4c471adb1ec25a05b81569d		https://www.encodeproject.org/files/ENCFF627GSD/@@download/ENCFF627GSD.fastq.gz		Illumina HiSeq 4000	/files/ENCFF539DGJ/	released	s3://encode-public/2018/04/29/a427d175-fbdd-446b-a9c7-a708509f3414/ENCFF627GSD.fastq.gz					
ENCFF908IVH	fastq	fastq		reads		ENCSR023PKW	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1	45		paired-ended	2	/files/ENCFF548DYX/			229605140	Gene Yeo, UCSD	e97f255d636b96fc318eb97c932428af		https://www.encodeproject.org/files/ENCFF908IVH/@@download/ENCFF908IVH.fastq.gz		Illumina HiSeq 4000	/files/ENCFF743HXX/	released	s3://encode-public/2018/04/29/74d028ce-7f9c-48af-852b-d2a5b3c93b4b/ENCFF908IVH.fastq.gz					
ENCFF364MMW	fastq	fastq		reads		ENCSR023PKW	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1	45		paired-ended	2	/files/ENCFF627GSD/			527141206	Gene Yeo, UCSD	f1dc20528d6da50dd86261dd43fce519		https://www.encodeproject.org/files/ENCFF364MMW/@@download/ENCFF364MMW.fastq.gz		Illumina HiSeq 4000	/files/ENCFF743HXX/	released	s3://encode-public/2018/04/29/2ec45245-709c-4e2a-9325-d0d9f8c3d1fc/ENCFF364MMW.fastq.gz					
ENCFF613CYM	bam	bam		alignments	hg19	ENCSR023PKW	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF548DYX/, /files/ENCFF908IVH/	57955350	Gene Yeo, UCSD	3035f8160660539ca3c973e135b35a84		https://www.encodeproject.org/files/ENCFF613CYM/@@download/ENCFF613CYM.bam				released	s3://encode-public/2018/04/29/06bb4d07-6ee6-4e97-9a90-005c49dd6714/ENCFF613CYM.bam	Lab custom hg19	archived			
ENCFF083KKV	bam	bam		alignments	hg19	ENCSR023PKW	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF627GSD/, /files/ENCFF364MMW/	192808352	Gene Yeo, UCSD	3e420a3334f1a37bb64633105a9cfd7c		https://www.encodeproject.org/files/ENCFF083KKV/@@download/ENCFF083KKV.bam				released	s3://encode-public/2018/04/29/b91605f2-7ceb-46b8-93ff-df97f45cbb75/ENCFF083KKV.bam	Lab custom hg19	archived			
ENCFF031UFI	bigWig	bigWig		minus strand signal of unique reads	hg19	ENCSR023PKW	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF083KKV/	10260695	Gene Yeo, UCSD	b98d8106e46f837f6da414658787e7ac		https://www.encodeproject.org/files/ENCFF031UFI/@@download/ENCFF031UFI.bigWig				released	s3://encode-public/2018/04/29/2838f3ad-9b22-45b3-b275-6c9329f3c063/ENCFF031UFI.bigWig	Lab custom hg19	archived			
ENCFF639CRA	bigWig	bigWig		minus strand signal of unique reads	hg19	ENCSR023PKW	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF613CYM/	3115841	Gene Yeo, UCSD	d2988691e19b15fe085f5bc4d4cc4832		https://www.encodeproject.org/files/ENCFF639CRA/@@download/ENCFF639CRA.bigWig				released	s3://encode-public/2018/04/29/dd3809ed-320d-4c5f-b044-32cd70e6088f/ENCFF639CRA.bigWig	Lab custom hg19	archived			
ENCFF958RJQ	bigWig	bigWig		plus strand signal of unique reads	hg19	ENCSR023PKW	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF613CYM/	3297334	Gene Yeo, UCSD	826857ff47892bf3a27af0c124f152bf		https://www.encodeproject.org/files/ENCFF958RJQ/@@download/ENCFF958RJQ.bigWig				released	s3://encode-public/2018/04/29/89f260eb-b66b-4551-bbda-46a47b82f59b/ENCFF958RJQ.bigWig	Lab custom hg19	archived			
ENCFF259ZQR	bigWig	bigWig		plus strand signal of unique reads	hg19	ENCSR023PKW	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF083KKV/	10809824	Gene Yeo, UCSD	d82b138ac88b7dd56ceb4a1682df6bff		https://www.encodeproject.org/files/ENCFF259ZQR/@@download/ENCFF259ZQR.bigWig				released	s3://encode-public/2018/04/29/abd465e8-e92c-4686-a34d-af36b7a76d22/ENCFF259ZQR.bigWig	Lab custom hg19	archived			
ENCFF362BDI	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR023PKW	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF613CYM/, /files/ENCFF750DBW/	286122	Gene Yeo, UCSD	5dc9414ddfbc3cd626bcad6df621371f		https://www.encodeproject.org/files/ENCFF362BDI/@@download/ENCFF362BDI.bed.gz				released	s3://encode-public/2018/04/29/bd77ee18-2302-4214-9bc9-50eadb8d85ed/ENCFF362BDI.bed.gz	Lab custom hg19	archived			
ENCFF258VPL	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR023PKW	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF083KKV/, /files/ENCFF750DBW/	532958	Gene Yeo, UCSD	101065617288e7048f64ed6268c57f96		https://www.encodeproject.org/files/ENCFF258VPL/@@download/ENCFF258VPL.bed.gz				released	s3://encode-public/2018/04/29/3f099149-a44d-49c1-8a48-dd0f2bc25bc9/ENCFF258VPL.bed.gz	Lab custom hg19	archived			
ENCFF570LAY	bigBed narrowPeak	bigBed	narrowPeak	peaks	hg19	ENCSR023PKW	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF362BDI/	540866	Gene Yeo, UCSD	56ad7037e28909b0dc5b93a111ed857c		https://www.encodeproject.org/files/ENCFF570LAY/@@download/ENCFF570LAY.bigBed				released	s3://encode-public/2018/04/29/62ff69eb-8604-4666-a409-b1d1e9be3950/ENCFF570LAY.bigBed	Lab custom hg19	archived			
ENCFF743RET	bigBed narrowPeak	bigBed	narrowPeak	peaks	hg19	ENCSR023PKW	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF258VPL/	834510	Gene Yeo, UCSD	f6bcc42a53f8221548c513da5af8d4c4		https://www.encodeproject.org/files/ENCFF743RET/@@download/ENCFF743RET.bigBed				released	s3://encode-public/2018/04/29/a3811b53-a8e9-4014-9d3f-e7ed7726ae68/ENCFF743RET.bigBed	Lab custom hg19	archived			
ENCFF724QGF	bam	bam		alignments	GRCh38	ENCSR023PKW	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF548DYX/, /files/ENCFF908IVH/	53684866	Gene Yeo, UCSD	cc68c4126cebf949012b640bc11f86ce		https://www.encodeproject.org/files/ENCFF724QGF/@@download/ENCFF724QGF.bam				released	s3://encode-public/2018/04/29/f37b4f76-4e41-4c05-9101-dd1597411be0/ENCFF724QGF.bam	Lab custom GRCh38	released			
ENCFF605PZM	bam	bam		alignments	GRCh38	ENCSR023PKW	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										EIF3G-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF627GSD/, /files/ENCFF364MMW/	184313473	Gene Yeo, UCSD	6a2610873c5a72785440f98df996dc1e		https://www.encodeproject.org/files/ENCFF605PZM/@@download/ENCFF605PZM.bam				released	s3://encode-public/2018/04/29/7d52a7a2-cb98-4628-815b-122a3ecdf2e3/ENCFF605PZM.bam	Lab custom GRCh38	released			
